"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 07 03:54:57 UTC 2023","Thu Dec 07 03:55:11 UTC 2023","13826","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Dec 07 04:01:54 UTC 2023","Thu Dec 07 04:01:57 UTC 2023","2421","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Dec 07 04:10:26 UTC 2023","Thu Dec 07 04:10:28 UTC 2023","1755","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Thu Dec 07 03:45:03 UTC 2023","Thu Dec 07 03:45:12 UTC 2023","9794","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Dec 07 02:35:36 UTC 2023","Thu Dec 07 02:35:46 UTC 2023","9813","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Dec 07 03:20:26 UTC 2023","Thu Dec 07 03:20:28 UTC 2023","1224","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Dec 07 02:50:12 UTC 2023","Thu Dec 07 02:50:15 UTC 2023","3048","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Dec 07 04:10:21 UTC 2023","Thu Dec 07 04:10:26 UTC 2023","4595","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Dec 07 02:35:51 UTC 2023","Thu Dec 07 02:36:10 UTC 2023","18839","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Dec 07 03:50:34 UTC 2023","Thu Dec 07 03:50:46 UTC 2023","11731","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Thu Dec 07 04:09:07 UTC 2023","Thu Dec 07 04:10:18 UTC 2023","70062","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Thu Dec 07 04:05:30 UTC 2023","Thu Dec 07 04:05:48 UTC 2023","17712","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Dec 07 04:10:18 UTC 2023","Thu Dec 07 04:10:21 UTC 2023","3516","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Thu Dec 07 02:53:31 UTC 2023","Thu Dec 07 02:53:34 UTC 2023","2539","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Dec 07 03:45:41 UTC 2023","Thu Dec 07 03:45:42 UTC 2023","1604","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Dec 07 02:27:51 UTC 2023","Thu Dec 07 02:28:09 UTC 2023","18717","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Dec 07 02:35:46 UTC 2023","Thu Dec 07 02:35:51 UTC 2023","5264","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Dec 07 02:53:22 UTC 2023","Thu Dec 07 02:53:31 UTC 2023","8631","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Thu Dec 07 04:01:57 UTC 2023","Thu Dec 07 04:02:01 UTC 2023","4227","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Dec 07 02:39:52 UTC 2023","Thu Dec 07 02:39:57 UTC 2023","5133","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Dec 07 03:55:11 UTC 2023","Thu Dec 07 03:59:23 UTC 2023","252167","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Thu Dec 07 02:46:37 UTC 2023","Thu Dec 07 02:46:40 UTC 2023","2247","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Dec 07 04:18:44 UTC 2023","Thu Dec 07 04:18:54 UTC 2023","9974","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu Dec 07 02:28:10 UTC 2023","Thu Dec 07 02:28:32 UTC 2023","22870","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Dec 07 02:29:44 UTC 2023","Thu Dec 07 02:29:55 UTC 2023","11121","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Dec 07 02:28:32 UTC 2023","Thu Dec 07 02:28:57 UTC 2023","24464","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Thu Dec 07 02:31:31 UTC 2023","Thu Dec 07 02:31:51 UTC 2023","20188","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Dec 07 02:52:43 UTC 2023","Thu Dec 07 02:52:50 UTC 2023","6896","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Dec 07 03:19:58 UTC 2023","Thu Dec 07 03:20:24 UTC 2023","25388","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Dec 07 04:01:31 UTC 2023","Thu Dec 07 04:01:45 UTC 2023","14076","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Thu Dec 07 04:07:27 UTC 2023","Thu Dec 07 04:07:34 UTC 2023","6679","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Dec 07 02:55:22 UTC 2023","Thu Dec 07 02:56:32 UTC 2023","69824","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Dec 07 04:03:59 UTC 2023","Thu Dec 07 04:03:59 UTC 2023","921","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Dec 07 03:51:17 UTC 2023","Thu Dec 07 03:51:27 UTC 2023","9716","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Dec 07 04:19:09 UTC 2023","Thu Dec 07 04:19:32 UTC 2023","23129","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Thu Dec 07 03:50:55 UTC 2023","Thu Dec 07 03:50:59 UTC 2023","3441","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Thu Dec 07 03:22:58 UTC 2023","Thu Dec 07 03:22:59 UTC 2023","205","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Thu Dec 07 03:45:18 UTC 2023","Thu Dec 07 03:45:41 UTC 2023","22534","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Dec 07 02:39:57 UTC 2023","Thu Dec 07 02:40:18 UTC 2023","20919","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Dec 07 03:19:47 UTC 2023","Thu Dec 07 03:19:48 UTC 2023","268","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Thu Dec 07 02:29:55 UTC 2023","Thu Dec 07 02:30:20 UTC 2023","24959","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Dec 07 02:45:32 UTC 2023","Thu Dec 07 02:45:35 UTC 2023","3240","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Dec 07 03:25:01 UTC 2023","Thu Dec 07 03:25:02 UTC 2023","1162","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Dec 07 03:45:12 UTC 2023","Thu Dec 07 03:45:15 UTC 2023","2829","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Dec 07 02:50:26 UTC 2023","Thu Dec 07 02:50:29 UTC 2023","2559","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Dec 07 03:48:26 UTC 2023","Thu Dec 07 03:49:08 UTC 2023","42715","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Thu Dec 07 02:47:34 UTC 2023","Thu Dec 07 02:47:36 UTC 2023","1764","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Thu Dec 07 02:53:06 UTC 2023","Thu Dec 07 02:53:09 UTC 2023","3132","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Thu Dec 07 02:49:30 UTC 2023","Thu Dec 07 02:49:46 UTC 2023","16492","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Dec 07 02:31:51 UTC 2023","Thu Dec 07 02:31:58 UTC 2023","6939","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Thu Dec 07 04:10:28 UTC 2023","Thu Dec 07 04:11:07 UTC 2023","39207","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Dec 07 02:36:10 UTC 2023","Thu Dec 07 02:36:16 UTC 2023","6500","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Dec 07 02:41:48 UTC 2023","Thu Dec 07 02:41:51 UTC 2023","2750","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Dec 07 03:25:02 UTC 2023","Thu Dec 07 03:25:07 UTC 2023","4722","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Dec 07 02:46:30 UTC 2023","Thu Dec 07 02:46:32 UTC 2023","2604","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Dec 07 03:45:15 UTC 2023","Thu Dec 07 03:45:18 UTC 2023","2861","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Dec 07 04:08:50 UTC 2023","Thu Dec 07 04:09:07 UTC 2023","17575","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Dec 07 04:08:20 UTC 2023","Thu Dec 07 04:08:23 UTC 2023","3457","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Thu Dec 07 04:18:54 UTC 2023","Thu Dec 07 04:18:57 UTC 2023","2806","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
